SendMessage (88080428, 0x112c, 0x4, 0x4)
SendMessage (88080422, 0x101f, (nil), (nil))
SendMessage (0, 0x1203, (nil), 0x7ffe19daf0d0)
SendMessage (0, 0x1204, (nil), 0x7ffe19daf0d0)
SendMessage (0, 0x1203, 0x1, 0x7ffe19daf0d0)
SendMessage (0, 0x1204, 0x1, 0x7ffe19daf0d0)
SendMessage (0, 0x1203, 0x2, 0x7ffe19daf0d0)
SendMessage (0, 0x1204, 0x2, 0x7ffe19daf0d0)
SendMessage (0, 0x1203, 0x3, 0x7ffe19daf0d0)
SendMessage (0, 0x1204, 0x3, 0x7ffe19daf0d0)
SendMessage (0, 0x1203, 0x4, 0x7ffe19daf0d0)
SendMessage (0, 0x1204, 0x4, 0x7ffe19daf0d0)
SendMessage (88080422, 0x101f, (nil), (nil))
SendMessage (0, 0x1203, (nil), 0x7ffe19daf0a0)
SendMessage (0, 0x1204, (nil), 0x7ffe19daf0a0)
SendMessage (0, 0x1203, 0x1, 0x7ffe19daf0a0)
SendMessage (0, 0x1204, 0x1, 0x7ffe19daf0a0)
SendMessage (0, 0x1203, 0x2, 0x7ffe19daf0a0)
SendMessage (0, 0x1204, 0x2, 0x7ffe19daf0a0)
SendMessage (0, 0x1203, 0x3, 0x7ffe19daf0a0)
SendMessage (0, 0x1204, 0x3, 0x7ffe19daf0a0)
SendMessage (0, 0x1203, 0x4, 0x7ffe19daf0a0)
SendMessage (0, 0x1204, 0x4, 0x7ffe19daf0a0)
SendMessage (88080422, 0x101f, (nil), (nil))
SendMessage (0, 0x1203, (nil), 0x7ffe19db0380)
SendMessage (0, 0x1204, (nil), 0x7ffe19db0380)
SendMessage (0, 0x1203, 0x1, 0x7ffe19db0380)
SendMessage (0, 0x1204, 0x1, 0x7ffe19db0380)
SendMessage (0, 0x1203, 0x2, 0x7ffe19db0380)
SendMessage (0, 0x1204, 0x2, 0x7ffe19db0380)
SendMessage (0, 0x1203, 0x3, 0x7ffe19db0380)
SendMessage (0, 0x1204, 0x3, 0x7ffe19db0380)
SendMessage (0, 0x1203, 0x4, 0x7ffe19db0380)
SendMessage (0, 0x1204, 0x4, 0x7ffe19db0380)
SendMessage (88080414, 0x444, 0x1, 0x3d61ca0)
SendMessage (88080414, 0x444, 0x1, 0x3ac1440)
SendMessage (88080414, 0x444, 0x1, 0x3c43f20)
SendMessage (88080414, 0x444, 0x1, 0x3ba4040)
SendMessage (88080414, 0x444, 0x1, 0x3dc78d0)
SendMessage (88080414, 0x444, 0x1, 0x3c8a6f0)
SendMessage (88080414, 0x444, 0x1, 0x3c9e680)
SendMessage (88080414, 0x444, 0x1, 0x3b78240)
SendMessage (88080414, 0x444, 0x1, 0x3b25640)
SendMessage (88080414, 0x444, 0x1, 0x3cb3890)
